core_local_id,state_id
0,6
1,7
2,8
3,15
4,16
5,17
6,24
7,25
8,26
9,33
10,34
11,35
12,42
13,43
14,44
15,51
16,52
17,53
18,60
19,61
20,62
21,69
22,70
23,71
24,78
25,79
26,80
27,87
28,88
29,89
30,96
31,97
32,98
33,105
34,106
35,107
36,114
37,115
38,116
39,123
40,124
41,125
42,132
43,133
44,134
45,141
46,142
47,143
48,150
49,151
50,152
51,159
52,160
53,161
54,168
55,169
56,170
57,177
58,178
59,179
60,186
61,187
62,188
63,195
64,196
65,197
66,204
67,205
68,206
69,213
70,214
71,215
72,222
73,223
74,224
75,231
76,232
77,233
78,240
79,241
80,242
81,249
82,250
83,251
84,258
85,259
86,260
87,267
88,268
89,269
90,276
91,277
92,278
93,285
94,286
95,287
96,294
97,295
98,296
99,303
100,304
101,305
102,312
103,313
104,314
105,321
106,322
107,323
108,330
109,331
110,332
111,339
112,340
113,341
114,348
115,349
116,350
117,357
118,358
119,359
120,366
121,367
122,368
123,375
124,376
125,377
126,384
127,385
128,386
129,393
130,394
131,395
132,402
133,403
134,404
135,411
136,412
137,413
138,420
139,421
140,422
141,429
142,430
143,431
144,438
145,439
146,440
147,447
148,448
149,449
150,456
151,457
152,458
153,465
154,466
155,467
156,474
157,475
158,476
159,483
160,484
161,485
162,492
163,493
164,494
165,501
166,502
167,503
168,510
169,511
170,512
171,519
172,520
173,521
174,528
175,529
176,530
177,537
178,538
179,539
180,546
181,547
182,548
183,555
184,556
185,557
186,564
187,565
188,566
189,573
190,574
191,575
192,582
193,583
194,584
195,591
196,592
197,593
198,600
199,601
200,602
201,609
202,610
203,611
204,618
205,619
206,620
207,627
208,628
209,629
210,636
211,637
212,638
213,645
214,646
215,647
216,654
217,655
218,656
219,663
220,664
221,665
222,672
223,673
224,674
225,681
226,682
227,683
228,690
229,691
230,692
231,699
232,700
233,701
234,708
235,709
236,710
237,717
238,718
239,719
240,726
241,727
242,728
