path,sha256,artifact_kind
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/generation_summary.json,ff230f48950b2f0b44c80d1183e04c382c5beb2994a75a2aaef1195299667ed6,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/generated_nodes.csv,b28c275ee5d3c0e289f492df03e58d4236f7f03b17fadd9a1a345360d18afd58,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/generated_edges.csv,b881cc8083a22840950fa9a581de1321969f9bd09270f8a9fcc9425ab1852e61,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/deletion_trace.csv,4dc57fd35efd8ad81fe4b071c0910cbd02cf766f0206e179d972c1c8db471dbe,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/saturation_trace.csv,b0c6eb6084a1a087c3880b6cf949eb3989e55bfe41814c5d8697e0a473a33cd1,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/figure_a1_oracle_diff.csv,c0b41effaf0fff50e06aa43a2c765f255e7150b4ef27b87035554d35976cb896,output
outputs/KL2003_F2_K2_ROW28_DELETION_SATURATION_EXPERIMENT_v1/mismatch.csv,988f0a9a6f04df34a35b1a81a36704d0bb0f5261b6078a8acb3e3a1ce9c5df20,output
scripts/kl2003_f2_k2_row28_deletion_saturation_experiment_v1.py,21b9afb55b39bbc3877b1036e479a90a159fff1f75f097298ce68f74df61e51e,input_source_or_oracle
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex,04fa4d484fe89256f6771f5651338891219385f6e049ffaf41035541016232cd,input_source_or_oracle
outputs/KL2003_FIGURE_A1_GRAPH_TRANSCRIPTION_v1/root_paths.csv,7d4de321e113d7da6e776d96379b5349021fc0320d1fa8684540d372081cefee,input_source_or_oracle
outputs/KL2003_FIGURE_A1_GRAPH_TRANSCRIPTION_v1/nodes.csv,ed52663dc2e1327fcd0f3db676f7023d01959de085745ec5bc2172cff354ac0e,input_source_or_oracle
outputs/KL2003_FIGURE_A1_GRAPH_TRANSCRIPTION_v1/edges.csv,78c95211ab747c035773e962c9f30591cb61ea7f02d1294492c64440c36d40f6,input_source_or_oracle
