capability_id,category,required_for_row28,required_by_prompt,question,schema_v2_status,v21_required,evidence,gap,proposed_v21_field,warning_code,warning_explanation
nested_blocks,nested_el,yes,yes,Can rows contain nested auxiliary EL blocks as first-class data?,MISSING_CANONICAL_FIELD,yes,Schema v2 has rows/children but no canonical nested_blocks or block DAG section.,M1V3/M2V3 would be encoded as free-form row text or ad hoc fields.,"nested_blocks[] with block_id, operator, operands, shift, coefficient_ref",,
min_nodes,expression_ast,yes,yes,Can min nodes be represented structurally?,MISSING_CANONICAL_FIELD,yes,"Schema v2 mentions coefficient_terms and target_bound, but no expression-node operator for min.",A verifier cannot distinguish real min structure from descriptive strings.,expr_nodes[] entries with operator = min,,
sum_nodes,expression_ast,yes,yes,Can sum nodes be represented structurally?,MISSING_CANONICAL_FIELD,yes,Schema v2 has coefficient_terms but no typed sum node for phi28 + M2V3.,The row28 block phi28 + M2V3 would be textual rather than checker-readable.,expr_nodes[] entries with operator = sum and operands[],,
auxiliary_block_refs,nested_el,yes,yes,Can rows reference auxiliary blocks M1V3/M2V3 by id?,MISSING_CANONICAL_FIELD,yes,"Baseline has row28=two-branch row with nested EL block and row28 c-prime split and M1V3=min(phi28 + M2V3, phi25), but schema v2 lacks typed block_ref fields.",M1V3/M2V3 references would be reviewer-only prose.,block_ref operands and row.auxiliary_blocks[],,
m1v3_phi25_second_arm,meta_errata_v3,yes,yes,Can M1V3 record the source-faithful phi25 second arm as typed data?,MISSING_CANONICAL_FIELD,yes,"The baseline records phi25 in prose, but schema v2 has no typed nested block arm for M1V3.",The phi25/not-phi22 guardrail cannot be machine-checked without a typed M1V3 block.,"nested_blocks[M1V3].operands[1] = {component: phi25, shift: shift2AlphaMinus5Pad2}",,
retarded_advanced_branch_roles,row_tree,yes,yes,Can retarded and advanced branch roles be represented canonically?,MISSING_CANONICAL_FIELD,yes,"Existing row22/row25 examples use branch_kind, but schema v2 lists it only as ad hoc generated data, not a required field.",Row28 needs typed retarded/advanced roles before deletion and post-deletion validation.,child.branch_role = retarded | advanced | post_deletion,,
c_residue_split,row28_case_tree,yes,yes,"Can the c % 9 split into {5,2,8} be represented canonically?",MISSING_CANONICAL_FIELD,yes,Row22 emitted residue_split as ad hoc data; schema v2 has no required split/cases contract.,Row28 case coverage would be prose unless split nodes are typed.,"case_splits[] with split_id, variable, modulus, exhaustive_cases[]",,
cprime_residue_split,row28_case_tree,yes,yes,"Can the cPrime % 9 split into {2,5,8} be represented canonically?",MISSING_CANONICAL_FIELD,yes,Schema v2 has no nested split object under a post-deletion class-8 branch.,The row28 class-8 repair cannot be represented as checker-readable data.,case_splits[] may be nested and may reference post_deletion_edges,,
deletion_marks,deletion,yes,yes,Can deletion marks be represented canonically?,SUPPORTED_DIRECT_OR_EXISTING,no,Schema v2 defines deletion_marks and examples emit deletion_marks.,None for basic deletion ledger.,reuse deletion_marks,,
post_deletion_children,deletion,yes,yes,Can post-deletion replacement children be represented canonically?,MISSING_CANONICAL_FIELD,yes,"Schema v2 allows child reason/boundary_correction, but no post_deletion_parent/post_deletion_children relationship.",Deleted parent and counted replacement branches are not mechanically linked.,post_deletion_edges[] with deleted_node_id and replacement_child_ids[],,
tree_oracle_node_ids,figure_a1_oracle,yes,yes,Can Figure A1/root_paths node ids be stored as proof-relevant regression data?,MISSING_CANONICAL_FIELD,yes,"Schema v2 has child_id/literal_id, but no source_tree_node_id or oracle_node_id contract.",Tree diff against N04/N05 would rely on nonstandard fields.,"source_tree_node_id, oracle_node_id, oracle_path_node_ids",,
not_counted_deleted_parent,deletion,yes,yes,Can a deleted structural parent be marked explicitly not counted?,MISSING_CANONICAL_FIELD,yes,"Schema v2 has deleted boolean, but no counted/status enum separating deleted, counted, and structural_only.",Verifier cannot reject parent+descendant double count from schema alone.,node_status = counted | deleted | structural_only,,
sibling_disjointness_groups,disjointness,yes,yes,Can sibling populations that may be summed be grouped explicitly?,MISSING_CANONICAL_FIELD,yes,Schema v2 has fiber_parent but no sum_group or sibling_group canonical field.,Row28 class-8 sibling sums are not auditable as groups.,"sibling_groups[] with group_id, parent_fiber, member_child_ids[]",,
anti_parent_descendant_overlap,disjointness,yes,yes,Can the artifact mark and reject parent+descendant overlap?,MISSING_CANONICAL_FIELD,yes,"Schema v2 trust rules reject bad data generally, but no explicit anti-overlap marker exists.",The old bad B subset A candidate has no canonical schema-level check target.,overlap_guards[] with guard_kind = no_parent_descendant_sum,,
splitting_source_refs,source_refs,yes,yes,Can splitting rule source references be recorded?,SUPPORTED_PARTIAL_NEEDS_CANONICALIZATION,yes,"Schema v2 has source_ref fields, but not splitting_rule_line_range/hash as dedicated fields.",Basic source_ref exists; dedicated splitting provenance should be added for row28.,"splitting_rule_source{path,line_range,sha256,rule_id}",,
deletion_source_refs,source_refs,yes,yes,Can deletion rule source references be recorded?,SUPPORTED_PARTIAL_NEEDS_CANONICALIZATION,yes,"Schema v2 has source_ref fields, but not deletion_rule_line_range/hash as dedicated fields.",Basic source_ref exists; dedicated deletion provenance should be added for row28.,"deletion_rule_source{path,line_range,sha256,rule_id}",,
termination_rule_source_refs,source_refs,yes,yes,Can EL termination rule source references be recorded?,MISSING_CANONICAL_FIELD,yes,Row28 scoping requires termination_rule_source; schema v2 has no termination rule section.,A generator could hardcode depth without a schema-visible source reason.,"termination_rule{kind,source_ref,line_range,sha256}",,
termination_policy_deletion_saturation,termination,yes,yes,Can the format record expand_until_deletion_saturation as an untested hypothesis?,MISSING_CANONICAL_FIELD,yes,Row28 scoping requires a parametric termination policy; schema v2 has no policy/status field.,The generator cannot honestly distinguish a source-proven rule from an untested deletion-saturation hypothesis.,"termination_policy{kind: expand_until_deletion_saturation, status: DELETION_SATURATION_HYPOTHESIS_UNTESTED}",,
