capability_id,category,schema_v2_status,gap,proposed_v21_field,why_needed
nested_blocks,nested_el,MISSING_CANONICAL_FIELD,M1V3/M2V3 would be encoded as free-form row text or ad hoc fields.,"nested_blocks[] with block_id, operator, operands, shift, coefficient_ref",Can rows contain nested auxiliary EL blocks as first-class data?
min_nodes,expression_ast,MISSING_CANONICAL_FIELD,A verifier cannot distinguish real min structure from descriptive strings.,nested_blocks[] entries with block_kind = min and children[],Can min nodes be represented structurally?
sum_nodes,expression_ast,MISSING_CANONICAL_FIELD,The row28 block phi28 + M2V3 would be textual rather than checker-readable.,nested_blocks[] entries with block_kind = sum and children[],Can sum nodes be represented structurally?
auxiliary_block_refs,nested_el,MISSING_CANONICAL_FIELD,M1V3/M2V3 references would be reviewer-only prose.,block_ref operands and row.auxiliary_blocks[],Can rows reference auxiliary blocks M1V3/M2V3 by id?
m1v3_phi25_second_arm,meta_errata_v3,MISSING_CANONICAL_FIELD,The phi25/not-phi22 guardrail cannot be machine-checked without a typed M1V3 block.,"nested_blocks[M1V3].operands[1] = {component: phi25, shift: shift2AlphaMinus5Pad2}",Can M1V3 record the source-faithful phi25 second arm as typed data?
retarded_advanced_branch_roles,row_tree,MISSING_CANONICAL_FIELD,Row28 needs typed retarded/advanced roles before deletion and post-deletion validation.,child.branch_role = retarded | advanced | post_deletion,Can retarded and advanced branch roles be represented canonically?
c_residue_split,row28_case_tree,MISSING_CANONICAL_FIELD,Row28 case coverage would be prose unless split nodes are typed.,"case_splits[] with split_id, variable, modulus, exhaustive_cases[]","Can the c % 9 split into {5,2,8} be represented canonically?"
cprime_residue_split,row28_case_tree,MISSING_CANONICAL_FIELD,The row28 class-8 repair cannot be represented as checker-readable data.,case_splits[] may be nested and may reference post_deletion_edges,"Can the cPrime % 9 split into {2,5,8} be represented canonically?"
post_deletion_children,deletion,MISSING_CANONICAL_FIELD,Deleted parent and counted replacement branches are not mechanically linked.,post_deletion_edges[] with deleted_node_id and replacement_child_ids[],Can post-deletion replacement children be represented canonically?
tree_oracle_node_ids,figure_a1_oracle,MISSING_CANONICAL_FIELD,Tree diff against N04/N05 would rely on nonstandard fields.,figure_node_id plus source_refs entry for Figure A1/root_paths regression oracle,Can Figure A1/root_paths node ids be stored as proof-relevant regression data?
not_counted_deleted_parent,deletion,MISSING_CANONICAL_FIELD,Verifier cannot reject parent+descendant double count from schema alone.,node_status = counted | deleted | terminal | expanded plus contributes_to_cardinality,Can a deleted structural parent be marked explicitly not counted?
sibling_disjointness_groups,disjointness,MISSING_CANONICAL_FIELD,Row28 class-8 sibling sums are not auditable as groups.,sibling_disjointness_groups[] with group_id and member node ids,Can sibling populations that may be summed be grouped explicitly?
anti_parent_descendant_overlap,disjointness,MISSING_CANONICAL_FIELD,The old bad B subset A candidate has no canonical schema-level check target.,overlap_guards[] with guard_kind = no_parent_descendant_sum,Can the artifact mark and reject parent+descendant overlap?
splitting_source_refs,source_refs,SUPPORTED_PARTIAL_NEEDS_CANONICALIZATION,Basic source_ref exists; dedicated splitting provenance should be added for row28.,"splitting_rule_source{path,line_range,sha256,rule_id}",Can splitting rule source references be recorded?
deletion_source_refs,source_refs,SUPPORTED_PARTIAL_NEEDS_CANONICALIZATION,Basic source_ref exists; dedicated deletion provenance should be added for row28.,"deletion_rule_source{path,line_range,sha256,rule_id}",Can deletion rule source references be recorded?
termination_rule_source_refs,source_refs,MISSING_CANONICAL_FIELD,A generator could hardcode depth without a schema-visible source reason.,"termination_rule{kind,source_ref,line_range,sha256}",Can EL termination rule source references be recorded?
termination_policy_deletion_saturation,termination,MISSING_CANONICAL_FIELD,The generator cannot honestly distinguish a source-proven rule from an untested deletion-saturation hypothesis.,"termination_policy{kind: expand_until_deletion_saturation, status: hypothesis_untested}",Can the format record expand_until_deletion_saturation as an untested hypothesis?
